2016/01/15 01:59:10 INFO  - jmeter.threads.JMeterThread: jmeterthread.startearlier=true (see jmeter.properties) 
2016/01/15 01:59:10 INFO  - jmeter.threads.JMeterThread: Running PostProcessors in forward order 
2016/01/15 01:59:10 INFO  - jmeter.threads.ThreadGroup: Started thread group number 1 
2016/01/15 01:59:10 INFO  - jmeter.engine.StandardJMeterEngine: All thread groups have been started 
2016/01/15 01:59:10 INFO  - jmeter.threads.JMeterThread: Thread started: Thread Group 1-1 
2016/01/15 01:59:10 INFO  - jmeter.protocol.http.sampler.HTTPHCAbstractImpl: Local host = Lus-MacBook-Pro.local 
2016/01/15 01:59:10 INFO  - jmeter.protocol.http.sampler.HTTPHC4Impl: HTTP request retry count = 1 
2016/01/15 01:59:10 INFO  - jmeter.protocol.http.sampler.HttpClientDefaultParameters: Reading httpclient parameters from hc.parameters 
2016/01/15 01:59:10 ERROR - jmeter.protocol.http.sampler.HttpClientDefaultParameters: Problem loading properties java.io.FileNotFoundException: hc.parameters (No such file or directory) 
2016/01/15 01:59:10 INFO  - jmeter.protocol.http.sampler.HTTPHC4Impl: Setting up HTTPS TrustAll scheme 
2016/01/15 01:59:10 INFO  - jmeter.util.JsseSSLManager: Using default SSL protocol: TLS 
2016/01/15 01:59:10 INFO  - jmeter.util.JsseSSLManager: SSL session context: per-thread 
2016/01/15 01:59:10 INFO  - jmeter.threads.JMeterThread: Thread is done: Thread Group 1-1 
2016/01/15 01:59:10 INFO  - jmeter.threads.JMeterThread: Thread finished: Thread Group 1-1 
2016/01/15 01:59:10 INFO  - jmeter.engine.StandardJMeterEngine: Notifying test listeners of end of test 
2016/01/15 01:59:10 INFO  - jmeter.gui.util.JMeterMenuBar: setRunning(false,*local*) 
2016/01/15 01:59:28 INFO  - jmeter.engine.StandardJMeterEngine: Running the test! 
2016/01/15 01:59:28 INFO  - jmeter.samplers.SampleEvent: List of sample_variables: [] 
2016/01/15 01:59:28 INFO  - jmeter.gui.util.JMeterMenuBar: setRunning(true,*local*) 
2016/01/15 01:59:28 INFO  - jmeter.engine.StandardJMeterEngine: Starting ThreadGroup: 1 : Thread Group 
2016/01/15 01:59:28 INFO  - jmeter.engine.StandardJMeterEngine: Starting 1 threads for group Thread Group. 
2016/01/15 01:59:28 INFO  - jmeter.engine.StandardJMeterEngine: Thread will continue on error 
2016/01/15 01:59:28 INFO  - jmeter.threads.ThreadGroup: Starting thread group number 1 threads 1 ramp-up 2 perThread 2000.0 delayedStart=false 
2016/01/15 01:59:28 INFO  - jmeter.threads.ThreadGroup: Started thread group number 1 
2016/01/15 01:59:28 INFO  - jmeter.engine.StandardJMeterEngine: All thread groups have been started 
2016/01/15 01:59:28 INFO  - jmeter.threads.JMeterThread: Thread started: Thread Group 1-1 
2016/01/15 01:59:28 INFO  - jmeter.threads.JMeterThread: Thread is done: Thread Group 1-1 
2016/01/15 01:59:28 INFO  - jmeter.threads.JMeterThread: Thread finished: Thread Group 1-1 
2016/01/15 01:59:28 INFO  - jmeter.engine.StandardJMeterEngine: Notifying test listeners of end of test 
2016/01/15 01:59:28 INFO  - jmeter.gui.util.JMeterMenuBar: setRunning(false,*local*) 
2016/01/15 02:00:28 INFO  - jmeter.engine.StandardJMeterEngine: Running the test! 
2016/01/15 02:00:28 INFO  - jmeter.samplers.SampleEvent: List of sample_variables: [] 
2016/01/15 02:00:28 INFO  - jmeter.gui.util.JMeterMenuBar: setRunning(true,*local*) 
2016/01/15 02:00:29 INFO  - jmeter.engine.StandardJMeterEngine: Starting ThreadGroup: 1 : Thread Group 
2016/01/15 02:00:29 INFO  - jmeter.engine.StandardJMeterEngine: Starting 311 threads for group Thread Group. 
2016/01/15 02:00:29 INFO  - jmeter.engine.StandardJMeterEngine: Thread will continue on error 
2016/01/15 02:00:29 INFO  - jmeter.threads.ThreadGroup: Starting thread group number 1 threads 311 ramp-up 3 perThread 9.646302 delayedStart=false 
2016/01/15 02:00:29 INFO  - jmeter.threads.JMeterThread: Thread started: Thread Group 1-1 
2016/01/15 02:00:29 INFO  - jmeter.threads.JMeterThread: Thread started: Thread Group 1-2 
2016/01/15 02:00:29 INFO  - jmeter.threads.JMeterThread: Thread started: Thread Group 1-3 
2016/01/15 02:00:29 INFO  - jmeter.threads.JMeterThread: Thread started: Thread Group 1-4 
2016/01/15 02:00:29 INFO  - jmeter.threads.JMeterThread: Thread started: Thread Group 1-5 
2016/01/15 02:00:29 INFO  - jmeter.threads.JMeterThread: Thread started: Thread Group 1-6 
2016/01/15 02:00:29 INFO  - jmeter.threads.JMeterThread: Thread started: Thread Group 1-7 
2016/01/15 02:00:29 INFO  - jmeter.threads.JMeterThread: Thread started: Thread Group 1-8 
2016/01/15 02:00:29 INFO  - jmeter.threads.JMeterThread: Thread started: Thread Group 1-9 
2016/01/15 02:00:29 INFO  - jmeter.threads.JMeterThread: Thread started: Thread Group 1-10 
2016/01/15 02:00:29 INFO  - jmeter.threads.JMeterThread: Thread started: Thread Group 1-11 
2016/01/15 02:00:29 INFO  - jmeter.threads.JMeterThread: Thread started: Thread Group 1-12 
2016/01/15 02:00:29 INFO  - jmeter.threads.JMeterThread: Thread started: Thread Group 1-13 
2016/01/15 02:00:29 INFO  - jmeter.threads.JMeterThread: Thread started: Thread Group 1-14 
2016/01/15 02:00:29 INFO  - jmeter.threads.JMeterThread: Thread started: Thread Group 1-15 
2016/01/15 02:00:29 INFO  - jmeter.threads.JMeterThread: Thread started: Thread Group 1-16 
2016/01/15 02:00:29 INFO  - jmeter.threads.JMeterThread: Thread started: Thread Group 1-17 
2016/01/15 02:00:29 INFO  - jmeter.threads.JMeterThread: Thread started: Thread Group 1-18 
2016/01/15 02:00:29 INFO  - jmeter.threads.JMeterThread: Thread started: Thread Group 1-19 
2016/01/15 02:00:29 INFO  - jmeter.threads.JMeterThread: Thread started: Thread Group 1-20 
2016/01/15 02:00:29 INFO  - jmeter.threads.JMeterThread: Thread started: Thread Group 1-21 
2016/01/15 02:00:29 INFO  - jmeter.threads.JMeterThread: Thread started: Thread Group 1-22 
2016/01/15 02:00:29 INFO  - jmeter.threads.JMeterThread: Thread started: Thread Group 1-23 
2016/01/15 02:00:29 INFO  - jmeter.threads.JMeterThread: Thread started: Thread Group 1-24 
2016/01/15 02:00:29 INFO  - jmeter.threads.JMeterThread: Thread is done: Thread Group 1-9 
2016/01/15 02:00:29 INFO  - jmeter.threads.JMeterThread: Thread finished: Thread Group 1-9 
2016/01/15 02:00:29 INFO  - jmeter.threads.JMeterThread: Thread started: Thread Group 1-26 
2016/01/15 02:00:29 INFO  - jmeter.threads.JMeterThread: Thread started: Thread Group 1-27 
2016/01/15 02:00:29 INFO  - jmeter.threads.JMeterThread: Thread started: Thread Group 1-25 
2016/01/15 02:00:29 INFO  - jmeter.threads.JMeterThread: Thread started: Thread Group 1-28 
2016/01/15 02:00:29 INFO  - jmeter.threads.JMeterThread: Thread started: Thread Group 1-29 
2016/01/15 02:00:29 INFO  - jmeter.threads.JMeterThread: Thread is done: Thread Group 1-21 
2016/01/15 02:00:29 INFO  - jmeter.threads.JMeterThread: Thread finished: Thread Group 1-21 
2016/01/15 02:00:29 INFO  - jmeter.threads.JMeterThread: Thread is done: Thread Group 1-7 
2016/01/15 02:00:29 INFO  - jmeter.threads.JMeterThread: Thread finished: Thread Group 1-7 
2016/01/15 02:00:29 INFO  - jmeter.threads.JMeterThread: Thread started: Thread Group 1-31 
2016/01/15 02:00:29 INFO  - jmeter.threads.JMeterThread: Thread started: Thread Group 1-30 
